representation,model,replicate,ari_stability_all,ari_stability_common_assigned,common_assigned_fraction,coverage,catalog_ari_subset
Classical shape,K-medoids,17,0.9462267725332371,0.9462267725332371,1.0,1.0,0.40564598232059373
Classical shape,K-means,17,0.9842555345355362,0.9842555345355362,1.0,1.0,0.32177035438204626
Classical shape,Average linkage,17,0.7974779800104078,0.7974779800104078,1.0,1.0,0.015082203198999831
Classical shape,DBSCAN,17,0.9397417367071451,,0.77375,0.78,0.08903235578731197
Classical shape,HDBSCAN,17,0.8642890586827939,1.0,0.46,0.47875,0.14368260790084542
Classical full,K-medoids,17,0.8164832319528352,0.8164832319528352,1.0,1.0,0.7409021104758867
Classical full,K-means,17,0.5611577097760885,0.5611577097760885,1.0,1.0,0.593319924336894
Classical full,Average linkage,17,1.0,1.0,1.0,1.0,0.016945132784860012
Classical full,DBSCAN,17,0.8785046667643022,,0.78,0.78625,0.08817710054359315
Classical full,HDBSCAN,17,0.9112421121664669,0.9867735667181489,0.5475,0.55,0.2269203664120215
JDR,K-medoids,18,1.0,1.0,1.0,1.0,0.2932532251252651
JDR,K-means,18,0.9937947719989397,0.9937947719989397,1.0,1.0,0.3081058578500293
JDR,Average linkage,18,0.46809502362341476,0.46809502362341476,1.0,1.0,0.3465256935824951
JDR,DBSCAN,18,0.8872125050327075,0.9550712570560677,0.7925,0.815,0.525402183111007
JDR,HDBSCAN,18,0.6883603901713988,0.9272400780336912,0.61375,0.70625,0.3211753544861452
Classical shape,K-medoids,18,0.5251413461193348,0.5251413461193348,1.0,1.0,0.6613583343530979
Classical shape,K-means,18,0.8265774775433321,0.8265774775433321,1.0,1.0,0.3854908328051319
Classical shape,Average linkage,18,0.663215540651901,0.663215540651901,1.0,1.0,0.00910212046355063
Classical shape,DBSCAN,18,0.9351385230408382,,0.765,0.77,0.06265703218050432
Classical shape,HDBSCAN,18,0.8118562591232613,1.0,0.48875,0.54625,0.22002659924066564
Classical full,K-medoids,18,0.836523107553284,0.836523107553284,1.0,1.0,0.7666522850159119
Classical full,K-means,18,0.9281831404126794,0.9281831404126794,1.0,1.0,0.47843038272534116
Classical full,Average linkage,18,0.8559619412708482,0.8559619412708482,1.0,1.0,0.00910212046355063
Classical full,DBSCAN,18,0.5634164016701346,,0.77375,0.7825,0.5486210800242648
Classical full,HDBSCAN,18,0.6182772521437006,0.9883163651527318,0.58375,0.725,0.45841745425578007
JDR,K-medoids,19,0.9831813897387814,0.9831813897387814,1.0,1.0,0.2891913010030092
JDR,K-means,19,0.9969088561389607,0.9969088561389607,1.0,1.0,0.2988543768959404
JDR,Average linkage,19,0.5708978235367443,0.5708978235367443,1.0,1.0,0.4349067378390411
JDR,DBSCAN,19,0.9040442046856466,0.9666838296999776,0.8,0.825,0.5614001284087223
JDR,HDBSCAN,19,0.6608419641284936,0.7972156620686319,0.55,0.5775,0.15979475164912854
Classical shape,K-medoids,19,0.4419171009060756,0.4419171009060756,1.0,1.0,0.5378253970181863
Classical shape,K-means,19,0.9956854084647268,0.9956854084647268,1.0,1.0,0.320556994763054
Classical shape,Average linkage,19,0.7972239421349593,0.7972239421349593,1.0,1.0,0.017886327130876317
Classical shape,DBSCAN,19,0.9396307334273893,,0.775,0.775,0.07233102240898966
Classical shape,HDBSCAN,19,0.8629936850252227,0.9741767702146475,0.45625,0.46125,0.11545024693435105
